PhotoObjAll
Contains ~585,634,220 rows (~1,818,044,192 kB)

Notes

ConeSearchClient	 	 1/1/2001 12:00:00 AM
PhotoObjAll

Contains a record describing the attributes of each photometric object
The table has views:

PhotoObj: all primary and secondary objects; essentially this is the view you should use unless you want a specific type of object.
PhotoPrimary: all photo objects that are primary (the best version of the object).
Star: Primary objects that are classified as stars.
Galaxy: Primary objects that are classified as galaxies.
Sky:Primary objects which are sky samples.
Unknown:Primary objects which are no0ne of the above
PhotoSecondary: all photo objects that are secondary (secondary detections)
PhotoFamily: all photo objects which are neither primary nor secondary (blended)
The table has indices that cover the popular columns.

name	unit	ucd	enum	description
expMagErr_g	mag	PHOT_SDSS_G ERROR		Exponential fit error
expMagErr_r	mag	PHOT_SDSS_R ERROR		Exponential fit error
expMagErr_i	mag	PHOT_SDSS_I ERROR		Exponential fit error
expMagErr_z	mag	PHOT_SDSS_Z ERROR		Exponential fit error
modelMag_u	mag	PHOT_SDSS_U FIT_PARAM		better of DeV/Exp magnitude fit
modelMag_g	mag	PHOT_SDSS_G FIT_PARAM		better of DeV/Exp magnitude fit
modelMag_r	mag	PHOT_SDSS_R FIT_PARAM		better of DeV/Exp magnitude fit
modelMag_i	mag	PHOT_SDSS_I FIT_PARAM		better of DeV/Exp magnitude fit
modelMag_z	mag	PHOT_SDSS_Z FIT_PARAM		better of DeV/Exp magnitude fit
modelMagErr_u	mag	PHOT_SDSS_U ERROR		better of DeV/Exp magnitude fit error
modelMagErr_g	mag	PHOT_SDSS_G ERROR		better of DeV/Exp magnitude fit error
modelMagErr_r	mag	PHOT_SDSS_R ERROR		better of DeV/Exp magnitude fit error
modelMagErr_i	mag	PHOT_SDSS_I ERROR		better of DeV/Exp magnitude fit error
modelMagErr_z	mag	PHOT_SDSS_Z ERROR		better of DeV/Exp magnitude fit error
texture_u		FIT_PARAM		Texture parameter
texture_g		FIT_PARAM		Texture parameter
texture_r		FIT_PARAM		Texture parameter
texture_i		FIT_PARAM		Texture parameter
texture_z		FIT_PARAM		Texture parameter
lnLStar_u		FIT_GOODNESS		Star ln(likelihood)
lnLStar_g		FIT_GOODNESS		Star ln(likelihood)
lnLStar_r		FIT_GOODNESS		Star ln(likelihood)
lnLStar_i		FIT_GOODNESS		Star ln(likelihood)
lnLStar_z		FIT_GOODNESS		Star ln(likelihood)
lnLExp_u		FIT_GOODNESS		Exponential disk fit ln(likelihood)
lnLExp_g		FIT_GOODNESS		Exponential disk fit ln(likelihood)
lnLExp_r		FIT_GOODNESS		Exponential disk fit ln(likelihood)
lnLExp_i		FIT_GOODNESS		Exponential disk fit ln(likelihood)
lnLExp_z		FIT_GOODNESS		Exponential disk fit ln(likelihood)
lnLDeV_u		FIT_GOODNESS		DeVaucouleurs fit ln(likelihood)
lnLDeV_g		FIT_GOODNESS		DeVaucouleurs fit ln(likelihood)
lnLDeV_r		FIT_GOODNESS		DeVaucouleurs fit ln(likelihood)
lnLDeV_i		FIT_GOODNESS		DeVaucouleurs fit ln(likelihood)
lnLDeV_z		FIT_GOODNESS		DeVaucouleurs fit ln(likelihood)
fracDeV_u		PHOT_FLUX_RATIO		Weight of deV component in best composite model
fracDeV_g		PHOT_FLUX_RATIO		Weight of deV component in best composite model
fracDeV_r		PHOT_FLUX_RATIO		Weight of deV component in best composite model
fracDeV_i		PHOT_FLUX_RATIO		Weight of deV component in best composite model
fracDeV_z		PHOT_FLUX_RATIO		Weight of deV component in best composite model
flags_u		CODE_MISC	PhotoFlags	Object detection flags per band
flags_g		CODE_MISC	PhotoFlags	Object detection flags per band
flags_r		CODE_MISC	PhotoFlags	Object detection flags per band
flags_i		CODE_MISC	PhotoFlags	Object detection flags per band
flags_z		CODE_MISC	PhotoFlags	Object detection flags per band
type_u		CLASS_OBJECT	PhotoType	Object type classification per band
type_g		CLASS_OBJECT	PhotoType	Object type classification per band
type_r		CLASS_OBJECT	PhotoType	Object type classification per band
type_i		CLASS_OBJECT	PhotoType	Object type classification per band
type_z		CLASS_OBJECT	PhotoType	Object type classification per band
probPSF_u		STAT_PROBABILITY		Probablity object is a star in each filter.
probPSF_g		STAT_PROBABILITY		Probablity object is a star in each filter.
probPSF_r		STAT_PROBABILITY		Probablity object is a star in each filter.
probPSF_i		STAT_PROBABILITY		Probablity object is a star in each filter.
probPSF_z		STAT_PROBABILITY		Probablity object is a star in each filter.
status		CODE_MISC	PhotoStatus	Status of the object in the survey
ra	deg	POS_EQ_RA_MAIN		J2000 right ascension (r')
dec	deg	POS_EQ_DEC_MAIN		J2000 declination (r')
cx		POS_EQ_CART_X		unit vector for ra+dec
cy		POS_EQ_CART_Y		unit vector for ra+dec
cz		POS_EQ_CART_Z		unit vector for ra+dec
raErr	arcsec	POS_EQ_RA_ERR		Error in RA
decErr	arcsec	POS_EQ_DEC_ERR		Error in dec
raDecCorr		CODE_MISC		RA/dec correlation
b	deg	POS_GAL_LON		Galactic latitude
l	deg	POS_GAL_LAT		Galactic longitude
offsetRa_u	arcsec	POS_OFFSET		filter position ra minus final ra (* cos(dec))
offsetRa_g	arcsec	POS_OFFSET		filter position ra minus final ra (* cos(dec))
offsetRa_r	arcsec	POS_OFFSET		filter position ra minus final ra (* cos(dec))
offsetRa_i	arcsec	POS_OFFSET		filter position ra minus final ra (* cos(dec))
offsetRa_z	arcsec	POS_OFFSET		filter position ra minus final ra (* cos(dec))
offsetDec_u	arcsec	POS_OFFSET		filter position dec minus final dec
offsetDec_g	arcsec	POS_OFFSET		filter position dec minus final dec
offsetDec_r	arcsec	POS_OFFSET		filter position dec minus final dec
offsetDec_i	arcsec	POS_OFFSET		filter position dec minus final dec
offsetDec_z	arcsec	POS_OFFSET		filter position dec minus final dec
primTarget		CODE_MISC	PrimTarget	Bit mask of primary target categories the object was selected in.
secTarget		CODE_MISC	SecTarget	Bit mask of secondary target categories the object was selected in.
seguePrimTarget		CODE_MISC		Bit mask of SEGUE primary target categories the object was selected in.
segueSecTarget		CODE_MISC		Bit mask of SEGUE secondary target categories the object was selected in.
extinction_u	mag	PHOT_EXTINCTION_GAL		Extinction in each filter
extinction_g	mag	PHOT_EXTINCTION_GAL		Extinction in each filter
extinction_r	mag	PHOT_EXTINCTION_GAL		Extinction in each filter
extinction_i	mag	PHOT_EXTINCTION_GAL		Extinction in each filter
extinction_z	mag	PHOT_EXTINCTION_GAL		Extinction in each filter
priority		CODE_MISC		Priority bits
rho	mag	EXTENSION_RAD		Log size for surface brightness: 5xlog(Petro radius in i band)
nProf_u		NUMBER		Number of Profile Bins
nProf_g		NUMBER		Number of Profile Bins
nProf_r		NUMBER		Number of Profile Bins
nProf_i		NUMBER		Number of Profile Bins
nProf_z		NUMBER		Number of Profile Bins
loadVersion		ID_VERSION		Load Version
htmID		CODE_HTM		20-deep hierarchical trangular mesh ID of this object
fieldID		ID_FIELD		Link to the field this object is in
parentID		ID_PARENT		Pointer to parent (if object deblended) or BRIGHT detection (if object has one), else 0
specObjID		ID_CATALOG		Pointer to the spectrum of object, if exists, else 0
u	mag	PHOT_SDSS_U FIT_PARAM		Shorthand alias for modelMag
g	mag	PHOT_SDSS_G FIT_PARAM		Shorthand alias for modelMag
r	mag	PHOT_SDSS_R FIT_PARAM		Shorthand alias for modelMag
i	mag	PHOT_SDSS_I FIT_PARAM		Shorthand alias for modelMag
z	mag	PHOT_SDSS_Z FIT_PARAM		Shorthand alias for modelMag
err_u	mag	PHOT_SDSS_U ERROR		Error in modelMag alias
err_g	mag	PHOT_SDSS_G ERROR		Error in modelMag alias
err_r	mag	PHOT_SDSS_R ERROR		Error in modelMag alias
err_i	mag	PHOT_SDSS_I ERROR		Error in modelMag alias
err_z	mag	PHOT_SDSS_Z ERROR		Error in modelMag alias
dered_u	mag	PHOT_SDSS_U		Simplified mag, corrected for extinction: modelMag-extinction
dered_g	mag	PHOT_SDSS_G		Simplified mag, corrected for extinction: modelMag-extinction
dered_r	mag	PHOT_SDSS_R		Simplified mag, corrected for extinction: modelMag-extinction
dered_i	mag	PHOT_SDSS_I		Simplified mag, corrected for extinction: modelMag-extinction
dered_z	mag	PHOT_SDSS_Z		Simplified mag, corrected for extinction: modelMag-extinction
New Note

